id,kor_name,en_name,type,image_url,image_url_small,image_url_cropped
168917,바이론 하프트,Vylon Hept,Effect Monster,https://images.ygoprodeck.com/images/cards/168917.jpg,https://images.ygoprodeck.com/images/cards_small/168917.jpg,https://images.ygoprodeck.com/images/cards_cropped/168917.jpg
176392,코아키메일 테스트베드,Koa'ki Meiru Prototype,Effect Monster,https://images.ygoprodeck.com/images/cards/176392.jpg,https://images.ygoprodeck.com/images/cards_small/176392.jpg,https://images.ygoprodeck.com/images/cards_cropped/176392.jpg
191749,히어로 플래시!!,Hero Flash!!,Spell Card,https://images.ygoprodeck.com/images/cards/191749.jpg,https://images.ygoprodeck.com/images/cards_small/191749.jpg,https://images.ygoprodeck.com/images/cards_cropped/191749.jpg
197042,엑소시스터 리타니아,Exosister Returnia,Trap Card,https://images.ygoprodeck.com/images/cards/197042.jpg,https://images.ygoprodeck.com/images/cards_small/197042.jpg,https://images.ygoprodeck.com/images/cards_cropped/197042.jpg
209710,플릭 크라운,Flick Clown,Effect Monster,https://images.ygoprodeck.com/images/cards/209710.jpg,https://images.ygoprodeck.com/images/cards_small/209710.jpg,https://images.ygoprodeck.com/images/cards_cropped/209710.jpg
213326,E - 이멀전시 콜,E - Emergency Call,Spell Card,https://images.ygoprodeck.com/images/cards/213326.jpg,https://images.ygoprodeck.com/images/cards_small/213326.jpg,https://images.ygoprodeck.com/images/cards_cropped/213326.jpg
218704,펜리르,Fenrir,Effect Monster,https://images.ygoprodeck.com/images/cards/218704.jpg,https://images.ygoprodeck.com/images/cards_small/218704.jpg,https://images.ygoprodeck.com/images/cards_cropped/218704.jpg
220414,EM턴트루퍼,Performapal Turn Trooper,Effect Monster,https://images.ygoprodeck.com/images/cards/220414.jpg,https://images.ygoprodeck.com/images/cards_small/220414.jpg,https://images.ygoprodeck.com/images/cards_cropped/220414.jpg
242146,성벽 파괴의 대창,Ballista of Rampart Smashing,Spell Card,https://images.ygoprodeck.com/images/cards/242146.jpg,https://images.ygoprodeck.com/images/cards_small/242146.jpg,https://images.ygoprodeck.com/images/cards_cropped/242146.jpg
255998,라피도 워리어,Rapid Warrior,Effect Monster,https://images.ygoprodeck.com/images/cards/255998.jpg,https://images.ygoprodeck.com/images/cards_small/255998.jpg,https://images.ygoprodeck.com/images/cards_cropped/255998.jpg
259314,인잭터의 건틀릿,Inzektor Gauntlet,Trap Card,https://images.ygoprodeck.com/images/cards/259314.jpg,https://images.ygoprodeck.com/images/cards_small/259314.jpg,https://images.ygoprodeck.com/images/cards_cropped/259314.jpg
263926,독법사,Bonze Alone,Effect Monster,https://images.ygoprodeck.com/images/cards/263926.jpg,https://images.ygoprodeck.com/images/cards_small/263926.jpg,https://images.ygoprodeck.com/images/cards_cropped/263926.jpg
269012,신을 묶는 묘,Mound of the Bound Creator,Spell Card,https://images.ygoprodeck.com/images/cards/269012.jpg,https://images.ygoprodeck.com/images/cards_small/269012.jpg,https://images.ygoprodeck.com/images/cards_cropped/269012.jpg
269510,천화의 감옥,Fire Prison,Spell Card,https://images.ygoprodeck.com/images/cards/269510.jpg,https://images.ygoprodeck.com/images/cards_small/269510.jpg,https://images.ygoprodeck.com/images/cards_cropped/269510.jpg
276357,에스프릿 힐링,Shinobird Salvation,Trap Card,https://images.ygoprodeck.com/images/cards/276357.jpg,https://images.ygoprodeck.com/images/cards_small/276357.jpg,https://images.ygoprodeck.com/images/cards_cropped/276357.jpg
282886,머메일-어비스노즈,Mermail Abyssnose,Effect Monster,https://images.ygoprodeck.com/images/cards/282886.jpg,https://images.ygoprodeck.com/images/cards_small/282886.jpg,https://images.ygoprodeck.com/images/cards_cropped/282886.jpg
284224,쌍천장 밀적,Dual Avatar - Empowered Mitsu-Jaku,Fusion Monster,https://images.ygoprodeck.com/images/cards/284224.jpg,https://images.ygoprodeck.com/images/cards_small/284224.jpg,https://images.ygoprodeck.com/images/cards_cropped/284224.jpg
286392,제트 워리어,Jet Warrior,Synchro Monster,https://images.ygoprodeck.com/images/cards/286392.jpg,https://images.ygoprodeck.com/images/cards_small/286392.jpg,https://images.ygoprodeck.com/images/cards_cropped/286392.jpg
291414,하나된 마음의 용,Converging Wills Dragon,Tuner Monster,https://images.ygoprodeck.com/images/cards/291414.jpg,https://images.ygoprodeck.com/images/cards_small/291414.jpg,https://images.ygoprodeck.com/images/cards_cropped/291414.jpg
293542,TG워울프,T.G. Warwolf,Effect Monster,https://images.ygoprodeck.com/images/cards/293542.jpg,https://images.ygoprodeck.com/images/cards_small/293542.jpg,https://images.ygoprodeck.com/images/cards_cropped/293542.jpg
295517,전설의 도시 아틀란티스,A Legendary Ocean,Spell Card,https://images.ygoprodeck.com/images/cards/295517.jpg,https://images.ygoprodeck.com/images/cards_small/295517.jpg,https://images.ygoprodeck.com/images/cards_cropped/295517.jpg
296499,일족의 법도,The Regulation of Tribe,Trap Card,https://images.ygoprodeck.com/images/cards/296499.jpg,https://images.ygoprodeck.com/images/cards_small/296499.jpg,https://images.ygoprodeck.com/images/cards_cropped/296499.jpg
298846,Trickstar Colchica,Trickstar Colchica,Link Monster,https://images.ygoprodeck.com/images/cards/298846.jpg,https://images.ygoprodeck.com/images/cards_small/298846.jpg,https://images.ygoprodeck.com/images/cards_cropped/298846.jpg
303660,사이버 증폭기,Amplifier,Spell Card,https://images.ygoprodeck.com/images/cards/303660.jpg,https://images.ygoprodeck.com/images/cards_small/303660.jpg,https://images.ygoprodeck.com/images/cards_cropped/303660.jpg
313513,매직기어,Spell Gear,Spell Card,https://images.ygoprodeck.com/images/cards/313513.jpg,https://images.ygoprodeck.com/images/cards_small/313513.jpg,https://images.ygoprodeck.com/images/cards_cropped/313513.jpg
324483,Ultimate Flame Swordsman,Ultimate Flame Swordsman,Fusion Monster,https://images.ygoprodeck.com/images/cards/324483.jpg,https://images.ygoprodeck.com/images/cards_small/324483.jpg,https://images.ygoprodeck.com/images/cards_cropped/324483.jpg
327051,브리트라 마기스토스,Magistus Vritra,Spell Card,https://images.ygoprodeck.com/images/cards/327051.jpg,https://images.ygoprodeck.com/images/cards_small/327051.jpg,https://images.ygoprodeck.com/images/cards_cropped/327051.jpg
336369,가스타 스퀴렐,Gusto Squirro,Tuner Monster,https://images.ygoprodeck.com/images/cards/336369.jpg,https://images.ygoprodeck.com/images/cards_small/336369.jpg,https://images.ygoprodeck.com/images/cards_cropped/336369.jpg
340002,EM해머맘모,Performapal Elephammer,Effect Monster,https://images.ygoprodeck.com/images/cards/340002.jpg,https://images.ygoprodeck.com/images/cards_small/340002.jpg,https://images.ygoprodeck.com/images/cards_cropped/340002.jpg
342673,Dark Magician the Magician of Black Magic,Dark Magician the Magician of Black Magic,Effect Monster,https://images.ygoprodeck.com/images/cards/342673.jpg,https://images.ygoprodeck.com/images/cards_small/342673.jpg,https://images.ygoprodeck.com/images/cards_cropped/342673.jpg
359563,벨즈 나이트메어,Evilswarm Nightmare,XYZ Monster,https://images.ygoprodeck.com/images/cards/359563.jpg,https://images.ygoprodeck.com/images/cards_small/359563.jpg,https://images.ygoprodeck.com/images/cards_cropped/359563.jpg
365213,광래하는 기적,Arrive in Light,Spell Card,https://images.ygoprodeck.com/images/cards/365213.jpg,https://images.ygoprodeck.com/images/cards_small/365213.jpg,https://images.ygoprodeck.com/images/cards_cropped/365213.jpg
368382,다이너미스트 브라키온,Dinomist Brachion,Pendulum Effect Monster,https://images.ygoprodeck.com/images/cards/368382.jpg,https://images.ygoprodeck.com/images/cards_small/368382.jpg,https://images.ygoprodeck.com/images/cards_cropped/368382.jpg
373085,찬미화,Firebrand Hymnist,Effect Monster,https://images.ygoprodeck.com/images/cards/373085.jpg,https://images.ygoprodeck.com/images/cards_small/373085.jpg,https://images.ygoprodeck.com/images/cards_cropped/373085.jpg
387282,가가가 시스터,Gagaga Sister,Effect Monster,https://images.ygoprodeck.com/images/cards/387282.jpg,https://images.ygoprodeck.com/images/cards_small/387282.jpg,https://images.ygoprodeck.com/images/cards_cropped/387282.jpg
402416,Obliterate!!! Blaze,Obliterate!!! Blaze,Spell Card,https://images.ygoprodeck.com/images/cards/402416.jpg,https://images.ygoprodeck.com/images/cards_small/402416.jpg,https://images.ygoprodeck.com/images/cards_cropped/402416.jpg
402568,일렉기린,Wattgiraffe,Effect Monster,https://images.ygoprodeck.com/images/cards/402568.jpg,https://images.ygoprodeck.com/images/cards_small/402568.jpg,https://images.ygoprodeck.com/images/cards_cropped/402568.jpg
403847,연합군,The A. Forces,Spell Card,https://images.ygoprodeck.com/images/cards/403847.jpg,https://images.ygoprodeck.com/images/cards_small/403847.jpg,https://images.ygoprodeck.com/images/cards_cropped/403847.jpg
410904,빙의각성－라센류,Awakening of the Possessed - Rasenryu,Effect Monster,https://images.ygoprodeck.com/images/cards/410904.jpg,https://images.ygoprodeck.com/images/cards_small/410904.jpg,https://images.ygoprodeck.com/images/cards_cropped/410904.jpg
423585,소환승 서몬 프리스트,Summoner Monk,Effect Monster,https://images.ygoprodeck.com/images/cards/423585.jpg,https://images.ygoprodeck.com/images/cards_small/423585.jpg,https://images.ygoprodeck.com/images/cards_cropped/423585.jpg
423705,철의 기사 기어프리드,Gearfried the Iron Knight,Effect Monster,https://images.ygoprodeck.com/images/cards/423705.jpg,https://images.ygoprodeck.com/images/cards_small/423705.jpg,https://images.ygoprodeck.com/images/cards_cropped/423705.jpg
425934,욕망의 고블린,Goblin of Greed,Effect Monster,https://images.ygoprodeck.com/images/cards/425934.jpg,https://images.ygoprodeck.com/images/cards_small/425934.jpg,https://images.ygoprodeck.com/images/cards_cropped/425934.jpg
440556,바하무트 샤크,Bahamut Shark,XYZ Monster,https://images.ygoprodeck.com/images/cards/440556.jpg,https://images.ygoprodeck.com/images/cards_small/440556.jpg,https://images.ygoprodeck.com/images/cards_cropped/440556.jpg
458748,법의 성전,The Book of the Law,Spell Card,https://images.ygoprodeck.com/images/cards/458748.jpg,https://images.ygoprodeck.com/images/cards_small/458748.jpg,https://images.ygoprodeck.com/images/cards_cropped/458748.jpg
464362,데스완구 시저 타이거,Frightfur Tiger,Fusion Monster,https://images.ygoprodeck.com/images/cards/464362.jpg,https://images.ygoprodeck.com/images/cards_small/464362.jpg,https://images.ygoprodeck.com/images/cards_cropped/464362.jpg
473469,폭설,Driving Snow,Trap Card,https://images.ygoprodeck.com/images/cards/473469.jpg,https://images.ygoprodeck.com/images/cards_small/473469.jpg,https://images.ygoprodeck.com/images/cards_cropped/473469.jpg
487395,워터 스피릿,Water Spirit,Normal Tuner Monster,https://images.ygoprodeck.com/images/cards/487395.jpg,https://images.ygoprodeck.com/images/cards_small/487395.jpg,https://images.ygoprodeck.com/images/cards_cropped/487395.jpg
494922,초중황신 스사노－O,Superheavy Samurai Warlord Susanowo,Synchro Monster,https://images.ygoprodeck.com/images/cards/494922.jpg,https://images.ygoprodeck.com/images/cards_small/494922.jpg,https://images.ygoprodeck.com/images/cards_cropped/494922.jpg
525110,꼬마 토마보,Cherry Inmato,Tuner Monster,https://images.ygoprodeck.com/images/cards/525110.jpg,https://images.ygoprodeck.com/images/cards_small/525110.jpg,https://images.ygoprodeck.com/images/cards_cropped/525110.jpg
545781,요룡 마하마,Mahaama the Fairy Dragon,Tuner Monster,https://images.ygoprodeck.com/images/cards/545781.jpg,https://images.ygoprodeck.com/images/cards_small/545781.jpg,https://images.ygoprodeck.com/images/cards_cropped/545781.jpg
549481,갑옷쥐,Prevent Rat,Normal Monster,https://images.ygoprodeck.com/images/cards/549481.jpg,https://images.ygoprodeck.com/images/cards_small/549481.jpg,https://images.ygoprodeck.com/images/cards_cropped/549481.jpg
564541,토템 드래곤,Totem Dragon,Effect Monster,https://images.ygoprodeck.com/images/cards/564541.jpg,https://images.ygoprodeck.com/images/cards_small/564541.jpg,https://images.ygoprodeck.com/images/cards_cropped/564541.jpg
572850,티아라멘츠 셰이렌,Tearlaments Scheiren,Effect Monster,https://images.ygoprodeck.com/images/cards/572850.jpg,https://images.ygoprodeck.com/images/cards_small/572850.jpg,https://images.ygoprodeck.com/images/cards_cropped/572850.jpg
575512,PSY프레임 서킷,PSY-Frame Circuit,Spell Card,https://images.ygoprodeck.com/images/cards/575512.jpg,https://images.ygoprodeck.com/images/cards_small/575512.jpg,https://images.ygoprodeck.com/images/cards_cropped/575512.jpg
581014,다이가스타 에메랄,Daigusto Emeral,XYZ Monster,https://images.ygoprodeck.com/images/cards/581014.jpg,https://images.ygoprodeck.com/images/cards_small/581014.jpg,https://images.ygoprodeck.com/images/cards_cropped/581014.jpg
595626,Ankuriboh,Ankuriboh,Effect Monster,https://images.ygoprodeck.com/images/cards/595626.jpg,https://images.ygoprodeck.com/images/cards_small/595626.jpg,https://images.ygoprodeck.com/images/cards_cropped/595626.jpg
596051,독사의 이,Snake Fang,Trap Card,https://images.ygoprodeck.com/images/cards/596051.jpg,https://images.ygoprodeck.com/images/cards_small/596051.jpg,https://images.ygoprodeck.com/images/cards_cropped/596051.jpg
598988,Sin레인보우 드래곤,Malefic Rainbow Dragon,Effect Monster,https://images.ygoprodeck.com/images/cards/598988.jpg,https://images.ygoprodeck.com/images/cards_small/598988.jpg,https://images.ygoprodeck.com/images/cards_cropped/598988.jpg
601193,피안의 시인 베르기리우스,"Virgil, Rock Star of the Burning Abyss",Synchro Monster,https://images.ygoprodeck.com/images/cards/601193.jpg,https://images.ygoprodeck.com/images/cards_small/601193.jpg,https://images.ygoprodeck.com/images/cards_cropped/601193.jpg
612115,검투수 레티어리,Gladiator Beast Retiari,Effect Monster,https://images.ygoprodeck.com/images/cards/612115.jpg,https://images.ygoprodeck.com/images/cards_small/612115.jpg,https://images.ygoprodeck.com/images/cards_cropped/612115.jpg
637216,몬스터익스프레스,Monster Express,Effect Monster,https://images.ygoprodeck.com/images/cards/637216.jpg,https://images.ygoprodeck.com/images/cards_small/637216.jpg,https://images.ygoprodeck.com/images/cards_cropped/637216.jpg
645087,사이버스 가제트,Cyberse Gadget,Effect Monster,https://images.ygoprodeck.com/images/cards/645087.jpg,https://images.ygoprodeck.com/images/cards_small/645087.jpg,https://images.ygoprodeck.com/images/cards_cropped/645087.jpg
645794,마제스펙터 프로그,Majespecter Toad - Ogama,Pendulum Effect Monster,https://images.ygoprodeck.com/images/cards/645794.jpg,https://images.ygoprodeck.com/images/cards_small/645794.jpg,https://images.ygoprodeck.com/images/cards_cropped/645794.jpg
652362,에일리언 모나이트,Alien Ammonite,Tuner Monster,https://images.ygoprodeck.com/images/cards/652362.jpg,https://images.ygoprodeck.com/images/cards_small/652362.jpg,https://images.ygoprodeck.com/images/cards_cropped/652362.jpg
653675,싱크로 오버톱,Synchro Overtop,Spell Card,https://images.ygoprodeck.com/images/cards/653675.jpg,https://images.ygoprodeck.com/images/cards_small/653675.jpg,https://images.ygoprodeck.com/images/cards_cropped/653675.jpg
662853,유니티 오브 드래곤,Sanctity of Dragon,Link Monster,https://images.ygoprodeck.com/images/cards/662853.jpg,https://images.ygoprodeck.com/images/cards_small/662853.jpg,https://images.ygoprodeck.com/images/cards_cropped/662853.jpg
662854,Noritoshi in Darkest Rainment,Noritoshi in Darkest Rainment,Link Monster,https://images.ygoprodeck.com/images/cards/662854.jpg,https://images.ygoprodeck.com/images/cards_small/662854.jpg,https://images.ygoprodeck.com/images/cards_cropped/662854.jpg
662855,Amatsu-Okami of the Divine Peaks,Amatsu-Okami of the Divine Peaks,Link Monster,https://images.ygoprodeck.com/images/cards/662855.jpg,https://images.ygoprodeck.com/images/cards_small/662855.jpg,https://images.ygoprodeck.com/images/cards_cropped/662855.jpg
662857,Iron Knight of Revolution,Iron Knight of Revolution,Link Monster,https://images.ygoprodeck.com/images/cards/662857.jpg,https://images.ygoprodeck.com/images/cards_small/662857.jpg,https://images.ygoprodeck.com/images/cards_cropped/662857.jpg
674561,악몽 재발,Dark Eruption,Spell Card,https://images.ygoprodeck.com/images/cards/674561.jpg,https://images.ygoprodeck.com/images/cards_small/674561.jpg,https://images.ygoprodeck.com/images/cards_cropped/674561.jpg
675319,조디악S,Zodiac Sign,Spell Card,https://images.ygoprodeck.com/images/cards/675319.jpg,https://images.ygoprodeck.com/images/cards_small/675319.jpg,https://images.ygoprodeck.com/images/cards_cropped/675319.jpg
691925,솔라 익스체인지,Solar Recharge,Spell Card,https://images.ygoprodeck.com/images/cards/691925.jpg,https://images.ygoprodeck.com/images/cards_small/691925.jpg,https://images.ygoprodeck.com/images/cards_cropped/691925.jpg
698785,썬더엔드 드래곤,Thunder End Dragon,XYZ Monster,https://images.ygoprodeck.com/images/cards/698785.jpg,https://images.ygoprodeck.com/images/cards_small/698785.jpg,https://images.ygoprodeck.com/images/cards_cropped/698785.jpg
703897,오르페골 클리막스,Orcust Crescendo,Trap Card,https://images.ygoprodeck.com/images/cards/703897.jpg,https://images.ygoprodeck.com/images/cards_small/703897.jpg,https://images.ygoprodeck.com/images/cards_cropped/703897.jpg
706925,해황의 저격병,Atlantean Marksman,Effect Monster,https://images.ygoprodeck.com/images/cards/706925.jpg,https://images.ygoprodeck.com/images/cards_small/706925.jpg,https://images.ygoprodeck.com/images/cards_cropped/706925.jpg
712559,아마조네스의 마을,Amazoness Village,Spell Card,https://images.ygoprodeck.com/images/cards/712559.jpg,https://images.ygoprodeck.com/images/cards_small/712559.jpg,https://images.ygoprodeck.com/images/cards_cropped/712559.jpg
720147,제너레이드 바이트,Generaider Boss Bite,Trap Card,https://images.ygoprodeck.com/images/cards/720147.jpg,https://images.ygoprodeck.com/images/cards_small/720147.jpg,https://images.ygoprodeck.com/images/cards_cropped/720147.jpg
732302,Temple of Skulls,Temple of Skulls,Normal Monster,https://images.ygoprodeck.com/images/cards/732302.jpg,https://images.ygoprodeck.com/images/cards_small/732302.jpg,https://images.ygoprodeck.com/images/cards_cropped/732302.jpg
734741,피안의 악귀 라비캔트,"Rubic, Malebranche of the Burning Abyss",Tuner Monster,https://images.ygoprodeck.com/images/cards/734741.jpg,https://images.ygoprodeck.com/images/cards_small/734741.jpg,https://images.ygoprodeck.com/images/cards_cropped/734741.jpg
739444,매거진드럼곤,Vorticular Drumgon,Link Monster,https://images.ygoprodeck.com/images/cards/739444.jpg,https://images.ygoprodeck.com/images/cards_small/739444.jpg,https://images.ygoprodeck.com/images/cards_cropped/739444.jpg
744887,허구의 제너레이드 우트가르자,"Utgarda, Generaider Boss of Delusion",Effect Monster,https://images.ygoprodeck.com/images/cards/744887.jpg,https://images.ygoprodeck.com/images/cards_small/744887.jpg,https://images.ygoprodeck.com/images/cards_cropped/744887.jpg
756652,Doron,Doron,Normal Monster,https://images.ygoprodeck.com/images/cards/756652.jpg,https://images.ygoprodeck.com/images/cards_small/756652.jpg,https://images.ygoprodeck.com/images/cards_cropped/756652.jpg
759393,화령사 히타,Hiita the Fire Charmer,Flip Effect Monster,https://images.ygoprodeck.com/images/cards/759393.jpg,https://images.ygoprodeck.com/images/cards_small/759393.jpg,https://images.ygoprodeck.com/images/cards_cropped/759393.jpg
770365,마도황성 트리스,Empress of Prophecy,XYZ Monster,https://images.ygoprodeck.com/images/cards/770365.jpg,https://images.ygoprodeck.com/images/cards_small/770365.jpg,https://images.ygoprodeck.com/images/cards_cropped/770365.jpg
786906,봉마의 각,Fateful Hour,Trap Card,https://images.ygoprodeck.com/images/cards/786906.jpg,https://images.ygoprodeck.com/images/cards_small/786906.jpg,https://images.ygoprodeck.com/images/cards_cropped/786906.jpg
799183,초전사의 방패,Super Soldier Shield,Trap Card,https://images.ygoprodeck.com/images/cards/799183.jpg,https://images.ygoprodeck.com/images/cards_small/799183.jpg,https://images.ygoprodeck.com/images/cards_cropped/799183.jpg
811734,DDD의 계약변경,D/D/D Contract Change,Trap Card,https://images.ygoprodeck.com/images/cards/811734.jpg,https://images.ygoprodeck.com/images/cards_small/811734.jpg,https://images.ygoprodeck.com/images/cards_cropped/811734.jpg
816427,네오플레임벨 레이디,Neo Flamvell Lady,Effect Monster,https://images.ygoprodeck.com/images/cards/816427.jpg,https://images.ygoprodeck.com/images/cards_small/816427.jpg,https://images.ygoprodeck.com/images/cards_cropped/816427.jpg
821049,비서스＝암리타라,Visas Amritara,Synchro Tuner Monster,https://images.ygoprodeck.com/images/cards/821049.jpg,https://images.ygoprodeck.com/images/cards_small/821049.jpg,https://images.ygoprodeck.com/images/cards_cropped/821049.jpg
844056,레드애로우즈,Red Arrows,Spell Card,https://images.ygoprodeck.com/images/cards/844056.jpg,https://images.ygoprodeck.com/images/cards_small/844056.jpg,https://images.ygoprodeck.com/images/cards_cropped/844056.jpg
847915,넘버즈 월,Number Wall,Trap Card,https://images.ygoprodeck.com/images/cards/847915.jpg,https://images.ygoprodeck.com/images/cards_small/847915.jpg,https://images.ygoprodeck.com/images/cards_cropped/847915.jpg
856784,운명의 드로우,Draw of Fate,Spell Card,https://images.ygoprodeck.com/images/cards/856784.jpg,https://images.ygoprodeck.com/images/cards_small/856784.jpg,https://images.ygoprodeck.com/images/cards_cropped/856784.jpg
863795,갤럭시 서머너,Galaxy Summoner,Effect Monster,https://images.ygoprodeck.com/images/cards/863795.jpg,https://images.ygoprodeck.com/images/cards_small/863795.jpg,https://images.ygoprodeck.com/images/cards_cropped/863795.jpg
